Sl no,Product,User Query,Product Responses
104,PROPEL,What is Zaggle Customer care number?,"Propel Zaggle Customer Care no. 18605003748 (Monday - Friday, 10:00 am - 7:00 pm) (Only on Business Days)
Send us email: team@zaggle.in
Chat with us: +91-836-772-3456 (Typical replay time: 1-2 Business Days) (Monday to Friday, 10 AM to 7 PM) (Only on Business Days)"
105,SAVE,What is SAVE tax benefits?,"The Zaggle SAVE card is a versatile prepaid card that helps employees save on taxes by facilitating tax-free spending on meals, fuel, and communication expenses. It digitizes employee tax benefits, replacing food coupons, fuel cards, travel vouchers, and gift cards with a single, convenient card."
106,Edge,What is the Kuber card?,"The Kuber card is a Corporate Prepaid Card that can be used at any VISA merchant in India. This card comes preloaded with the amount gifted to you.
More Information:
The KUBER gift card is widely accepted at more than 750,000 merchant partners across all categories such as supermarkets, hypermarkets, restaurants, fuel stations, jewelry stores, hotels, and all eCommerce sites."
107,SAVE,"How to pay for fuel using zaggle card
How can I pay for fuel through Zaggle",Ensure you have opted for the fuel wallet. You can then swipe your Zaggle card at any fuel station to complete the transaction.
108,Save,What to do if I am facing any problem with transactions?,"Please verify your balance and ensure sufficient funds before initiating transactions. Also, ensure that POS/ECOM/ATM channels have appropriate limits enabled. For further assistance, contact us at 18605001231 or email care@zaggle.in."
109,EMS,When does the smart scan fail?,"The smart scan may fail in the following cases: When the file format of the receipt is not supported. When the receipt does not contain sufficient data for the creation of the expense, or the receipt is faded. When a receipt is in an unsupported language. When more than one receipt scanned as a single image."
110,SAVE,When will I get the refund of the failed transaction,"Please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM"
111,SAVE,"When will I receive my new card?
When will my card be delivered ?
Card Delivery Status ?
Not recieved my card yet ?
When the card will be delivered?
I haven't received my physical card yet
I have not received any card yet?
Where is my Zaggle prepaid card
Physical card status
When will the card be dispatched ?
","Cards are typically delivered within 1-2 weeks. If your card hasn't arrived, please check with your HR department."
112,EMS,Where can I set general rules for categories?,General rules which are applicable to all the categories can be set by creating and editing policies and limits from the below path: Administrator Dashboard -> Admin -> Policies and Limits.
113,EDGE,Which PIN to use where?,POS PIN is used for ATM or Point of Sale Transaction (POS machine) and IPIN(Internet Banking PIN) is for ECOM Transaction/online transaction.
114,EMS,Why have some users not received the invitation email for joining the organization in Zaggle EMS?,"Please ask the users to check the spam, junk and promotions folders in their email. If some user has still not got the mail, the administrator can delete the user from the Employees section in the admin dashboard and add again."
115,SAVE,"Zaggle card is not yet loaded with the amount ?
Money is not credited yet in my zaggle card
Why current balance is showing 0 ?
Amount not loaded
I have not received the monthly zaggle meal voucher credit
My balance not yet credited
Payment not uploaded to zaggle card
Getting fund insufficient
Zaggle card not getting recharge
My balance is not yet updated ",Please check with your HR department 
116,EMS,What is the purpose of the Zaggle EMS Dashboard?,"The Zaggle EMS Dashboard serves as the central hub for users to manage expenses, travel requests, card management, and reporting. It provides a quick overview of pending approvals, submitted reports, and recent financial activities."
117,EMS,"What does ""Reports Pending Approval"" indicate?","""Reports Pending Approval"" shows the total number of expense reports submitted by the user that are currently awaiting approval from their designated approver(s)."
118,EMS,"What information is shown in ""Reports Submitted""?","""Reports Submitted"" displays the total number of expense reports that have been submitted and successfully approved."
119,EMS,How can I view detailed information about recent expenses?,"Under ""Recent Expenses,"" you will find a list of the most recent transactions made. Click on an expense to view more details like merchant name, amount, and the date of transaction."
120,EMS,Where can I find reports I’ve recently submitted?,"""Recent Reports"" shows a list of your latest expense reports. Click ""View all"" to see a detailed list and check the status or details of each report."
121,Save,How do I change my user profile details?,"To edit your profile, click on your name or the individual icon in the top right corner, then select ""Edit Profile."" From there, you can change details such as your name, email, and password."
122,CX,What should I do if I need help using the system?,"If you need assistance, click on ""Need Help?"" You can choose to write to support, request a call, request a demo, or view FAQs for help on common issues."
123,EMS,What are delegation features and how do they work?,"Delegation features allow you to assign someone else to manage your expenses or approvals on your behalf. You can delegate authority by selecting ""Delegation"" from your profile menu, then ""Add New Delegate"" and setting the permissions and duration of the delegation."
124,Save,"What is the ""Category Wise Balances"" section?","This section displays the available balances categorised by type, such as travel, meals, or office supplies. It shows both quarterly and annual balances to help with budget tracking."
125,EMS,Is there a mobile app for Zaggle EMS?,"Yes, Zaggle EMS has a mobile app available for both iOS and Android devices, which allows users to manage expenses on-the-go."
126,EMS,How do I contact Zaggle EMS support?,"For support, you can email EMSsupport@zaggle.in or use the contact options available under the ""Need Help?"" section of the Dashboard."
127,EMS,How do I filter expenses by their submission status?,"Navigate to the 'Filter By' dropdown on the Expenses page and select the desired status, such as Un-submitted, Reimbursed, Rejected, etc., to view expenses categorised by their current processing state."
128,EMS,What types of expenses can I filter by in Zaggle EMS?,"You can filter expenses by All Expenses, Un-submitted, Reimbursed, Partially Reimbursed, Rejected, Pending Reimbursement, and Recalled."
129,EMS,Can I customise what information is displayed in the expense list?,"Yes, click on the 'Manage Columns' button displayed as settings icon to select or deselect which columns (e.g., Date, Merchant, Category, Amount, Bill, Status) you want to display in the expense list."
130,EMS,How do I add a new expense in Zaggle EMS?,"Click on '+ Add Expense' and enter the necessary details such as Transaction Date, Category, Merchant, Amount, and optionally attach the bill. Confirm the details and save or submit the expense."
131,EMS,How do I add mileage to my expense report?,"Select the 'Add Mileage' option when adding an expense. Enter details such as Transaction Date, Distance, Vehicle Type, and Amount. You can manually enter the distance or use the odometer readings."
132,EMS,What is the procedure to add a Per Diem expense?,"Choose the 'Per Diem' tab during expense creation, specify the Transaction Date, Start and End Period, City, and the Amount based on daily allowances."
133,EMS,Can I attach multiple receipts to a single expense entry?,You can attach a maximum of 3 bills for each expense.
134,EMS,How do I edit an existing expense?,"Find the expense in the list, click on it, and choose 'Edit'. Make the necessary changes and save or resubmit for approval."
135,EMS,What should I do if an expense is rejected?,"Review the rejection reasons provided, correct any errors or add the required documentation, and resubmit the expense for approval."
136,EMS,How can I delete an expense that is no longer needed?,"If your company policy allows, you can delete an expense by selecting it from the list and clicking on the 'Delete' option."
137,EMS,Is there a way to recall a submitted expense?,"Yes, if the expense has not yet been processed or approved, you can recall it by selecting the 'Recall' option from the action menu of the expense."
138,EMS,How do I search for a specific expense?,"Use the search bar at the top of the Expenses page to enter keywords related to the ID, Merchant, Category, or Report Name."
139,EMS,"What is the purpose of sorting expenses, and how can I do it?","Sorting helps you organize expenses visually by criteria such as Date, Amount, or Status. Click on the column headers to sort the list accordingly."
140,EMS,How do I use the Smart Scan feature for adding expenses?,"Click on 'Smart Scan', and upload the receipt. The system will automatically extract transaction details like date, merchant, and amount, filling them in the expense form."
141,EMS,What happens if I submit an expense without a necessary receipt?,The expense may be flagged by the system or rejected by the approver. It's important to attach all required documents to avoid delays in processing.
142,EMS,How are currency conversions handled in Zaggle EMS?,"If you incur expenses in a foreign currency, enter the amount and select the currency. The system will automatically convert it into the base currency based on the latest exchange rates."
143,EMS,Can I add expenses in advance for a planned business trip?,"Yes, you can add projected expenses for upcoming trips. Ensure to update the actual amounts and attach receipts once the expenses are incurred."
144,EMS,What is the process for handling partially reimbursed expenses?,"If an expense is partially reimbursed, the system will show the reimbursed amount and the remaining balance. You may need to submit additional documentation or a revised claim for the remaining amount."
145,EMS,How do I handle tax-related information when adding an expense?,"When adding an expense, select the appropriate tax type from the dropdown menu. Provide tax details as per the receipts or as required by your company’s financial policies."
146,EMS,How are expense reports created from the individual expenses listed?,"After adding expenses, group them into reports by selecting multiple expenses and choosing 'Add to Report'. Specify the report name and submit it for approval."
147,EMS,What should I do if I need to update the payment method for an expense after submission?,"If the expense has not been processed yet, recall it, and update the payment method in the expense details before resubmitting."
148,EMS,How can I export my expenses for accounting or tax purposes?,Use the 'Exports' option in the main menu to generate downloadable reports of your expenses in formats suitable for accounting or tax filings.
149,EMS,Who can I contact for help if I encounter issues with the expense management system?,"You can use the 'Need Help?' feature to write to support, request a call, or request a demo for detailed guidance on using the system."
150,EMS,How do I access the travel request section in Zaggle EMS?,Navigate to the 'Travel Request' section via the left-hand menu after logging into the Zaggle EMS platform.
151,EMS,What types of travel requests can I make?,"You can submit travel requests for flights, hotel bookings, car rentals, and other miscellaneous travel needs."
152,EMS,How do I add a new travel request?,"Click on 'Add' in the 'Travel Request' section, enter the necessary details about your travel, and save the request."
153,EMS,Can I filter travel requests by status?,"Yes, use the 'Filter By' drop-down menu to filter requests by status such as 'Pending Close', 'Recalled', or 'Completed'."
154,EMS,What should I include in a travel request?,"Include details such as travel name, start and end dates, destination, and purpose of the trip."
155,EMS,How do I submit a flight reservation request?,"In the 'New Travel Request' form, select 'Flight Reservations', fill out the required fields, and submit your request."
156,EMS,What information is required for hotel reservations?,"You need to specify the location, check-in and check-out dates, and any preferences for meals or seating if applicable."
157,EMS,Can I save a travel request to complete later?,"Yes, you can save your travel request at any time and return to complete or submit it later."
158,EMS,How are travel requests approved?,"After submission, travel requests undergo a review process based on your company’s policies. You will receive a status update once reviewed."
159,EMS,How do I view the details of a submitted travel request?,Click on the specific travel request in the 'Travel Request' list to view detailed information.
160,EMS,What does the 'Pending Close' status mean for a travel request?,Pending Close' indicates that the request has been processed but not yet finalized or closed in the system.
161,EMS,How can I recall a travel request?,"If the request has a 'Recalled' status, you can open it and make necessary changes before resubmitting."
162,EMS,What happens after a travel request is completed?,"Once completed, the request will be marked as 'Completed' and you will typically no longer be able to make changes."
163,EMS,"How do I add multiple components to a travel request (e.g., flight and hotel)?","Within the travel request form, add each component separately by filling out the respective sections for flights, hotels, car rentals, etc."
164,EMS,Can I specify preferences for flights and hotels?,"Yes, when filling out the flight and hotel sections, you can specify preferences such as meal type, seat preference, room type, etc."
165,EMS,What is the purpose of the 'Business Purpose' field in a travel request?,"This field is used to describe the reason for the travel, which helps in the approval process and ensures compliance with company travel policies."
166,EMS,How do I track the approval status of my travel request?,The current status of your request is displayed in the travel request list and is updated as it moves through the approval process.
167,EMS,What should I do if my travel request is rejected?,"If rejected, review the feedback provided, make necessary adjustments, and resubmit the request."
168,EMS,Can I delete a travel request?,"Depending on your company’s policy and the system settings, you may or may not be able to delete a request. Check with your system administrator."
169,EMS,Can I edit a travel request after submission?,"This depends on your company's policy. If allowed, you can edit a request until it reaches a certain stage in the approval process."
170,EMS,How do I make a travel request for multiple people?,Include details for all individuals in the travel request or create separate requests if required by your system.
171,EMS,What details are required for car rentals in a travel request?,"Provide details like pick-up and drop-off locations, rental start and end dates, and any specific vehicle preferences."
172,General,What is credit card integration?,Credit card integration allows users to link and use their credit cards directly within the platform for various transactions.
173,General,Is my credit card information secure?,"Yes, all credit card information is encrypted and stored securely, complying with PCI DSS Standards."
174,General,Can I use multiple credit cards?,"Yes, users can add multiple credit cards and select a default card for transactions."
175,General,How do I set a default credit card?,"Go to ""My Credit Cards,"" select your preferred card, and click on ""Set as Default."""
176,General,What types of credit cards are supported?,"We support all major credit cards, including Visa, MasterCard, American Express, and Discover."
177,General,Can I remove a credit card from my account?,"Yes, you can remove a credit card by going to ""My Credit Cards"" and clicking ""Remove"" next to the card you wish to delete."
178,General,Q65: What should I do if my credit card is declined?,"Check for input errors, ensure sufficient funds, or contact your bank for further details."
179,General,Q66: How are refunds processed if I use a credit card?,Refunds are credited back to the original credit card used for the transaction.
180,General,Q67: Can I edit my credit card details?,"You can update your credit card details, such as the expiration date and billing address, by selecting ""Edit"" next to the card."
181,General,Q68: How do I view my credit card transactions?,"Transactions made with your credit cards can be viewed in the ""Transaction History"" section."
182,General,Q69: Is there a fee for using credit card integration?,Zaggle does not charge any additional fees for using the credit card integration service.
183,General,Q70: How do I report unauthorised transactions?,Immediately report any unauthorised transactions to customer support and your credit card issuer.
184,General,Q71: Can I use my credit card for international transactions?,"Yes, international transactions are supported, subject to your credit card's terms and conditions."
185,General,Q72: What is the transaction limit per credit card?,Transaction limits are subject to your credit card agreement and our platform's policies.
186,General,Q73: Can I use credit cards for recurring payments?,"Yes, you can set up recurring payments using your saved credit cards."
187,General,Q74: How quickly are transactions processed?,Credit card transactions are typically processed instantly but may vary based on the card issuer.
188,General,Q75: How secure is the credit card verification process?,We use secure protocols for credit card verification to ensure your information is protected.
189,General,Q76: What happens if I close my account?,All linked credit cards will be removed and cannot be recovered after account closure.
190,General,Q77: Can I link corporate credit cards?,"Yes, corporate credit cards can be linked with the same process as personal cards."
191,General,Q78: How do I know if my credit card is active on the platform?,"Active credit cards are listed in your account under ""Active Cards."""
192,EMS,What is an Expense Report in Zaggle EMS?,"An Expense Report allows you to compile and submit multiple expenses for approval, typically related to non-travel activities."
193,EMS,How do I access the Expense Report feature on Zaggle EMS?,"On the left-hand side menu of the Zaggle EMS homepage, click on 'Expense Reports'."
194,EMS,How do I start a new Expense Report?,"Click on 'Add New Report' and provide the required details such as the report title, comments, and the duration of the expense."
195,EMS,Can I add expenses that were previously unreported?,"Yes, to add unreported expenses, click on the 'Add Unreported Expense' option, and select the expenses you wish to add from the list displayed."
196,EMS,What happens if I submit an expense report with out-of-policy expenses?,The system will display an error message. You will need to either edit or delete the non-compliant expense items before re-submitting the report.
197,EMS,What is the 'Add Expense' function?,"This allows you to add new expenses directly to an existing report. Click 'Add Expense', and enter the expense details as required."
198,EMS,How do I edit an expense in a report?,"Within the expense report, select the expense you wish to edit and make the necessary adjustments."
199,EMS,What should I do if my expense report has been rejected?,"Review the feedback, correct any errors or out-of-policy expenses, and resubmit the report."
200,EMS,How can I delete an expense from a report?,Select the expense you wish to remove and use the delete option provided within the report.
201,EMS,What are the steps to submit an expense report for approval?,"After adding all necessary expenses and ensuring all entries comply with company policies, click on the 'Submit' button to send the report for managerial approval."
202,EMS,How do I know if my expense report has been submitted successfully?,"Once submitted, the status of your report will change to 'Pending for RM approval'."
203,EMS,What types of expenses can I report in a Non-Travel Expense Report?,"You can report various types of expenses such as office supplies, business meals, and local transport costs that comply with your company's policies."
204,EMS,Is there a limit to the number of expenses I can include in one report?,"There is typically no system-imposed limit, but it's best to adhere to your company's policy regarding expense report submissions."
205,EMS,How do I attach receipts to my expense report?,"For each expense entry, use the option to upload a digital copy of the relevant receipt."
206,EMS,Can I save a draft of my expense report before submitting?,"Yes, you can save your expense report as a draft and continue adding expenses before final submission."
207,EMS,What should I do if I encounter an error while saving an expense report?,"Check your internet connection, ensure all required fields are filled correctly, and try saving again."
208,EMS,Who approves the expense reports I submit?,"Expense reports are typically approved by your Reporting Manager or the Finance department, depending on your company's specific workflow."
209,EMS, Can I view the status of my submitted expense reports?,"Yes, the status of each report is visible in the 'Expense Reports' section of the EMS."
210,EMS,What happens after my expense report is approved?,"Once approved, the finance department will process the reimbursements as per the company's payment cycle."
211,EMS,How do I use filters to view specific expense reports?,"Use the filter options to sort and view expense reports based on their status, submission date, or other criteria."
212,EMS,What details are required when adding a new expense to a report?,"You need to provide details such as the date, amount, category, and a brief description of the expense."
213,EMS,Can I submit an expense report for expenses incurred on behalf of my team?,"Yes, provided you have the necessary permissions and it complies with your company's expense reporting policies."
214,EMS,How can I ensure my expenses comply with company policy before submission?,Review your company's expense policy document regularly and ensure each expense meets the specified criteria and limits.
215,EMS,What is the procedure to recall a submitted expense report?,"If the report has not yet been approved, you may have the option to recall it for editing. This option depends on your system's configuration."
216,EMS,Can I add notes or comments to my expense report for the approver?,"Yes, you can add comments or notes to provide additional context or explanations related to the expenses submitted."
217,EMS,What is the purpose of the 'Exports' section in ZaggleEMS?,"The 'Exports' section allows users to download various types of reports, such as travel requests or end user reports, that have been generated within the system."
218,EMS,How can I access the 'Exports' section in ZaggleEMS?,Navigate to the sidebar menu and click on 'Exports' to access this feature.
219,EMS,What types of reports can I export from ZaggleEMS?,"You can export End User Report Lists, Travel Request Reports, and other customized reports based on your access and system configuration."
220,EMS,How do I export a report from ZaggleEMS?,"Choose the report type from the dropdown menu, set any necessary filters such as date range, and then click the download link provided."
221,EMS,Can I export reports for specific dates?,"Yes, you can filter reports by entering a start and end date before executing the export."
222,EMS,What file formats are available for exporting reports?,"Reports are typically available in formats like PDF, Excel, or CSV, depending on the system setup."
223,EMS,How do I know the status of a report export?,"The 'Status' column in the exports list will indicate whether the report is queued, in progress, completed, or failed."
224,EMS,What should I do if my export fails?,"Check for any error messages and try exporting again, or contact your system administrator for support."
225,EMS,How long does it take to generate an export?,The time taken can vary depending on the size of the data and the current load on the system.
226,EMS,Is there a limit to the number of exports I can perform?,"Limits, if any, would be based on your system settings and organizational policies."
227,EMS,How do I download a completed report?,Click the 'Click here to Download' link in the 'File' column next to the report that has been marked as completed.
228,EMS,How can I filter the types of reports I see in the 'Exports' section?,Use the 'Search by File Type' dropdown to filter the reports displayed based on the report type.
229,EMS,What is a Cash Advance?,A cash advance is a facility provided to employees to cover expenses for upcoming trips or company-related expenditures before they occur.
230,EMS,How do I request a cash advance in Zaggle EMS?,"Navigate to ""Advance Payment"" on the left-hand sidebar menu, then click on ""Request Advance"" on the right-hand side tab."
231,EMS,What details are required to request a cash advance?,"You need to fill in details such as Purpose/Title, Amount, Reference, the payment method, and any additional comments."
232,EMS,Can I save a cash advance request without submitting it?,"Yes, after filling out the cash advance request form, you can choose to save it without submitting it by clicking the ""Save"" button."
233,EMS,How do I submit a cash advance request for approval?,"After completing the cash advance request form, click ""Submit"" to send it for approval."
234,EMS,What happens after I submit a cash advance request?,"The request will show as ""Pending for approval"" in the approval request list view section."
235,EMS,Who approves the cash advance requests?,Cash advance requests are approved by the Reporting Manager/s or as defined by the policy admin of your organization.
236,EMS,How can I check the status of my cash advance request?,"The status can be viewed in the 'Advance Payment' section, where each request's status is displayed next to it."
237,EMS,What does the 'Approved' status mean on my cash advance request?,Approved' status indicates that your cash advance request has been reviewed and accepted by the approval authorities.
238,EMS,What should I do if my cash advance request is rejected?,You should contact your finance team or supervisor to understand the reason for rejection and the next steps.
239,EMS,How do I link a cash advance to an expense report?,"Go to the 'Expense Reports' section, save your report, then use the 'Advance Payment' tab within the report to link the cash advance."
240,EMS,Can I attach multiple cash advances to a single expense report?,"Yes, multiple advances can be selected and linked to a single expense report."
241,EMS,How is the total of an expense report adjusted after adding cash advances?,The total claimed amount in the expense report will be adjusted to account for the advance amounts applied.
242,EMS,Can I un-link a cash advance from an expense report?,"Yes, before final submission, you can remove a linked cash advance by revisiting the 'Advance Payment' tab."
243,EMS,What happens if I don't use all of my cash advance?,Unspent cash advances should be reported and returned according to your organization’s financial policies.
244,EMS,Is there a deadline to report expenses against a cash advance?,"Yes, generally there are policy-defined timelines within which you must report expenses against advances."
245,EMS,What types of expenses can be covered by a cash advance?,"This depends on your organization’s policy but generally includes travel, lodging, meals, and other business-related expenses."
246,EMS,How do I download a report of my cash advances?,You can download reports from the 'Exports' section in the EMS by selecting the appropriate report type.
247,EMS,What should I do if there is an error in my cash advance request?,"Edit the request if possible, or contact your finance team for assistance."
248,EMS,Can I cancel a pending cash advance request?,"If the system allows, you can cancel it directly from the platform, or you might need to contact your finance team."
249,EMS,How do I update a previously submitted cash advance request?,"Depending on your organization's settings, you may need to request cancellation of the submission and submit a new one."
250,EMS,What documentation is required to request a cash advance?,"Typically, receipts or quotes of planned expenses are required."
251,EMS,How can I ensure my cash advance is processed quickly?,Submit all required information accurately and follow up with your finance team regularly.
252,EMS,What is the Advance Approval Workflow?,"It's a feature allowing companies to design workflows tailored to their needs, specifically for managing advance payments through an administrative interface."
253,EMS,Who can configure the Advance Approval Workflow?,The EMS Admin has the capability to configure and manage the workflow.
254,EMS,Can I assign different workflows for different company policies?,"Yes, workflows can be assigned to different policies, allowing for flexibility across various types of expense users."
255,EMS,What happens if a condition for a workflow rule is not met?,"If the condition is not met, the workflow follows the default path set in the workflow configuration."
256,EMS,How do I add a new rule to a workflow step?,Rules can be added by selecting the respective workflow step and defining the condition using the condition editor.
257,EMS,Can custom fields be included in the workflow conditions?,"Yes, custom fields relevant to the company's operations can be included in the conditions for workflow rules."
258,EMS,What is the default approval workflow for expenses in Zaggle EMS?,"The default approval workflow has three levels: Level 1 is the employee, Level 2 is the Reporting Manager, and Level 3 is the EMS Admin. This workflow is configurable to suit company policy."
259,EMS,How can I change the approval workflow for expenses?,"You can configure the approval workflow by navigating to the 'Expense Preferences' section under Admin Configurations and setting up each level as needed, keeping the employee as L1 and the EMS Admin with Can reimburse access as the last level."
260,EMS,Where do I update our business information like company name and registration number?,Update your business information under the 'Business Information' tab in Admin Configurations. You can also upload company logos and other documents here.
261,EMS,What are the requirements for uploading a company logo?,The logo should be a maximum of 150px in width and 60px in height.
262,EMS,How can I add or manage expense categories in Zaggle EMS?,"Go to the 'Categories' section under Admin Configurations to add, edit, delete, or enable/disable categories. Bulk upload is also available for managing multiple categories."
263,EMS,"What is the function of the ""+"" sign in the categories section?","The ""+"" sign is used to view and manage sub-categories associated with a main category."
264,EMS,How do I export all existing categories?,Use the 'Export' tab in the categories section to download all current categories.
265,EMS,What types of data fields can I add to Zaggle EMS forms?,"You can add new fields to employee master data forms, expense forms, and advance forms. Fields can be marked as mandatory and included in PDF downloads."
266,EMS,How do I manage employee details and cards in Zaggle EMS?,"Use the 'Employees' tab under Admin Configurations to add, update, or deactivate employees. The 'Employee with cards' tab is specifically for managing employees who have been issued company cards."
267,EMS,How is the mileage rate set in Zaggle EMS?,Navigate to the 'Mileage Rate' section under Admin Configurations to enable mileage tracking and set rates by vehicle type.
268,EMS,What is the purpose of the 'Merchants' tab under Admin Configurations?,"This tab allows you to add and manage a list of approved merchants for expense reporting, enhancing the expense filing process for users."
269,EMS,How do I set up per diem rates in Zaggle EMS?,"Under the 'Per diem' section, you can set rates based on time bands, job titles, and locations. Rates can be defined for specific durations and adjusted as per the company's travel policy."
270,EMS,Can I manage multiple entities under one Zaggle EMS account?,"Yes, use the 'Manage Organisation' section to add and manage multiple entities, and switch between them using the dropdown options."
271,EMS,How are roles and permissions managed in Zaggle EMS?,"Roles like Accounts, Finance, HR, etc., can be created and assigned specific permissions under the 'Roles' section in Admin Configurations."
272,EMS,What are the capabilities of the 'Policies & Limits' section?,"This section allows you to set and manage expense policies, including limits based on employee grade/title, receipt requirements, and frequency limits for specific expense categories."
273,EMS,How do I add a new organization in the system?,"Click on ""Add new organisation"" in the Manage Organisations section to start the process of adding a new entity."
274,EMS,How do I set specific policies for different categories?,"Navigate to the 'Manage Categories' tab in the 'Policies & Limits' section to set specific rules for each category, including enabling or disabling them based on the employee's title and grade."
275,EMS,What should I do if a category needs to be adjusted or removed?,Use the 'Edit' or 'Delete' options in the Categories section to make necessary adjustments or remove a category from the system.
276,EMS,How can I ensure a data field is included in PDF reports?,"While adding or editing a data field, make sure to check the 'View in PDF' option to include it in PDF downloads."
277,EMS,Can I restrict certain categories from being clubbed with others in expense reports?,"Yes, when adding or editing a category, you can set restrictions to prevent it from being clubbed with other categories in expense reports."
278,EMS,What happens if I need to change the data type of a field after creation?,"Once created, the field type and data type of a data field cannot be changed. You would need to create a new field if a different type is required."
279,EMS,How do I handle KYC and other document uploads for employees?,Use the 'Documents' tab under the Employees section to manage KYC and other necessary employee documents.
280,Save,What if an employee with a card leaves the company?,"In the 'Employees with cards' section, you can deactivate or delete an employee's record when they leave the company."
281,EMS,How do I add a new field to an existing form in Zaggle EMS?,"Go to the 'Data Fields' section, select 'Add new', choose the appropriate form (expense, advance, employee master), and specify the field details."
282,EMS,How do I customize the approval matrix for different departments within the company?,"In the 'Approval Matrix' section, you can create and customize approval flows specific to departments by assigning department heads and setting sequential approval levels as required."
283,EMS,What are the implications of deactivating an expense category?,Deactivating an expense category prevents it from being selected in new expense reports but does not affect reports where it has previously been used.
284,EMS,How can I view changes made to the admin settings?,"The 'Audit Trail' or 'Change Log' feature in the Admin Settings allows you to view all changes made, including who made the change and when, providing full transparency and accountability."
285,EMS,Is it possible to set up automatic reminders for approvals?,"Yes, you can configure automatic reminders from the 'Reminders' section to prompt approvers to review pending approvals within a stipulated timeframe."
286,EMS,How do I configure tax settings for different categories?,"Under 'Tax Settings' in the Categories section, you can define applicable taxes for each expense category, ensuring accurate tax calculations and compliance."
287,EMS,What to do if an admin cannot see certain settings or features?,Ensure the admin's role has the appropriate permissions enabled. Check the 'Roles' configuration to adjust permissions or assign a role with higher access privileges.
288,EMS,How do I restore a mistakenly deleted category?,"If a category is accidentally deleted, it may need to be manually recreated. Check if there is a 'Recycle Bin' or 'Restore' option available; if not, contact support for possible recovery options."
289,EMS,Can I restrict specific IP addresses or devices for admin access?,"Yes, under the 'Security Settings' you can specify allowed IP addresses or registered devices that can access the admin panel, enhancing security."
290,EMS,How are currency settings managed for international expenses?,"In the 'Currency Management' section, admins can add and manage multiple currencies along with conversion rates to facilitate international expense reporting."
291,EMS,How do I update the fiscal year settings in the system?,Navigate to the 'Fiscal Year' settings in the system configurations to update the start and end dates as per your organization’s financial year.
292,EMS,What steps should be taken if the system fails to update an admin setting?,"Verify internet connectivity first, then check if the system permissions allow the changes. If issues persist, clear cache or contact system support."
293,EMS,How to handle discrepancies in expense reports from the admin side?,"Use the 'Reports Audit' feature to review and adjust discrepancies in expense reports, ensuring accuracy and compliance with company policies."
294,EMS,What is the best way to introduce new expense policies company-wide?,"After updating policies in the 'Policies & Limits' section, communicate changes via the internal newsletter, email, or during a company meeting to ensure all employees are informed."
295,EMS,Can the admin extract a comprehensive report of all expenses within a specific period?,"Yes, use the 'Comprehensive Expense Report' feature to filter and download detailed reports for any specific timeframe."
296,EMS,How to manage emergency changes in company policies or settings?,"For immediate changes, use the 'Emergency Update' feature which allows admins to implement critical updates instantly, pending a review for later adjustments if needed."
297,EMS,What happens to our data in case Zaggle’s system goes down?,Be rest assured. Your data is safe with us. All your data is saved very securely on AWS servers with an appropriate level of redundancy to avoid any data loss.
298,EMS,How do I change the primary email address in my Zaggle EMS Account?,You will have to contact your organization's EMS admin to change your email address.
